UBIGEO,UBIGEO_INEI,DEPARTAMENTO,PROVINCIA,DISTRITO,pobreza_inf_2018,pobreza_sup_2018,pobreza_mid_2018,grupo_robusto,rank_pobreza,pob2020,valid_candidates,jpp_votes,fp_votes,rp_votes,jpp_share,fp_share,rp_share,jpp_minus_fp_share
010115,010115,Amazonas,Chachapoyas,Montevideo,28.618720519999997,48.670257480000004,38.644489,10.0,770.0,487.0,376,61,54,15,0.1622340425531915,0.14361702127659576,0.0398936170212766,0.01861702127659573
010116,010116,Amazonas,Chachapoyas,Olleros,36.546046679999996,59.270353320000005,47.9082,8.0,428.0,435.0,239,58,33,4,0.24267782426778242,0.13807531380753138,0.016736401673640166,0.10460251046025104
010117,010117,Amazonas,Chachapoyas,Quinjalca,37.36683196,56.87157204,47.119202,8.0,453.0,792.0,413,118,49,7,0.2857142857142857,0.11864406779661017,0.01694915254237288,0.1670702179176755
010118,010118,Amazonas,Chachapoyas,San Francisco De Daguas,18.92646756,40.48172044,29.704093999999998,12.0,1099.0,323.0,216,20,34,18,0.09259259259259259,0.1574074074074074,0.08333333333333333,-0.06481481481481483
010119,010119,Amazonas,Chachapoyas,San Isidro De Maino,32.481521199999996,54.2587088,43.370115,8.0,596.0,590.0,422,90,141,8,0.2132701421800948,0.3341232227488152,0.018957345971563982,-0.12085308056872038
010120,010120,Amazonas,Chachapoyas,Soloco,32.00521576,50.11951224,41.062364,9.0,669.0,1261.0,719,150,124,32,0.2086230876216968,0.17246175243393602,0.04450625869262865,0.03616133518776077
010121,010121,Amazonas,Chachapoyas,Sonche,42.29994584000001,69.40045816,55.850202,6.0,180.0,277.0,218,27,72,4,0.12385321100917432,0.3302752293577982,0.01834862385321101,-0.20642201834862386
010201,010206,Amazonas,Bagua,La Peca,26.4181518,43.10518020000001,34.761666000000005,11.0,918.0,6535.0,3388,1175,695,144,0.34681227863046044,0.2051357733175915,0.04250295159386069,0.14167650531286893
010202,010202,Amazonas,Bagua,Aramango,31.214769840000002,45.83684416,38.525807,10.0,778.0,10149.0,4277,1993,801,86,0.46598082768295535,0.1872808043020809,0.02010755202244564,0.2787000233808744
010203,010203,Amazonas,Bagua,Copallin,18.355646479999997,30.70486952,24.530257999999996,14.0,1269.0,4660.0,2437,1034,339,68,0.42429216249487073,0.1391054575297497,0.027903159622486663,0.285186704965121
010204,010204,Amazonas,Bagua,El Parco,26.7673646,43.7318114,35.249588,10.0,901.0,1287.0,956,462,122,30,0.48326359832635984,0.12761506276150628,0.03138075313807531,0.35564853556485354
010205,010201,Amazonas,Bagua,Bagua,12.103379440000001,20.32229056,16.212835,16.0,1559.0,29905.0,12172,3358,2454,584,0.27587906671048307,0.2016102530397634,0.047978968123562275,0.07426881367071966
010206,010205,Amazonas,Bagua,Imaza,46.69258615999999,61.206793839999996,53.94968999999999,6.0,226.0,32136.0,9044,5999,429,113,0.663312693498452,0.04743476337903582,0.012494471472799647,0.6158779301194162
010301,010301,Amazonas,Bongará,Jumbilla,22.42965576,36.66570024,29.547677999999998,12.0,1108.0,1332.0,379,84,57,21,0.22163588390501318,0.1503957783641161,0.055408970976253295,0.07124010554089708
010302,010304,Amazonas,Bongará,Corosha,45.865857319999996,63.72687868,54.796368,6.0,206.0,825.0,389,178,53,9,0.45758354755784064,0.13624678663239073,0.02313624678663239,0.32133676092544994
010303,010305,Amazonas,Bongará,Cuispes,35.612137239999996,56.05104076000001,45.831589,8.0,500.0,684.0,439,143,63,15,0.32574031890660593,0.14350797266514806,0.03416856492027335,0.18223234624145787
010304,010302,Amazonas,Bongará,Chisquilla,31.22075392,53.26290608000001,42.24183000000001,9.0,638.0,319.0,217,42,54,14,0.1935483870967742,0.2488479262672811,0.06451612903225806,-0.05529953917050692
010305,010303,Amazonas,Bongará,Churuja,14.03480292,27.53909708,20.78695,15.0,1409.0,301.0,182,16,63,8,0.08791208791208792,0.34615384615384615,0.04395604395604396,-0.2582417582417582
010306,010306,Amazonas,Bongará,Florida,26.469065120000003,40.89536287999999,33.682214,11.0,950.0,6397.0,2637,898,587,74,0.34053849070913916,0.22260144103147517,0.028062191884717484,0.117937049677664
010307,010308,Amazonas,Bongará,Recta,24.995755759999998,52.38565424,38.690705,10.0,767.0,218.0,171,39,36,4,0.22807017543859648,0.21052631578947367,0.023391812865497075,0.017543859649122806
010308,010309,Amazonas,Bongará,San Carlos,18.45378616,39.46441384,28.9591,12.0,1130.0,551.0,308,80,59,8,0.2597402597402597,0.19155844155844157,0.025974025974025976,0.06818181818181815
010309,010310,Amazonas,Bongará,Shipasbamba,26.34526452,45.38103148,35.863147999999995,10.0,886.0,1678.0,799,291,119,32,0.3642052565707134,0.14893617021276595,0.04005006257822278,0.21526908635794745
010310,010311,Amazonas,Bongará,Valera,14.03480292,27.53909708,20.78695,15.0,1410.0,837.0,553,78,193,19,0.1410488245931284,0.34900542495479203,0.034358047016274866,-0.20795660036166363
010311,010312,Amazonas,Bongará,Yambrasbamba,35.7173214,52.0012366,43.859279,8.0,583.0,5757.0,2462,922,637,42,0.3744922826969943,0.2587327376116978,0.017059301380991064,0.11575954508529651
010312,010307,Amazonas,Bongará,Jazan,16.06219176,29.36361024,22.712901000000002,14.0,1356.0,7931.0,2905,409,818,134,0.14079173838209982,0.28158347676419965,0.04612736660929432,-0.14079173838209982
010401,010501,Amazonas,Luya,Lamud,23.686253999999995,38.216518,30.951386,12.0,1045.0,2375.0,913,150,158,61,0.16429353778751368,0.17305585980284777,0.06681270536692223,-0.008762322015334084
010402,010502,Amazonas,Luya,Camporredondo,41.25076651999999,59.16266948,50.206717999999995,7.0,352.0,7515.0,2806,1277,389,48,0.455096222380613,0.13863150392017107,0.017106200997861726,0.3164647184604419
010403,010503,Amazonas,Luya,Cocabamba,46.67165144,65.28679455999999,55.97922299999999,6.0,175.0,2045.0,333,167,48,6,0.5015015015015015,0.14414414414414414,0.018018018018018018,0.3573573573573574
010404,010504,Amazonas,Luya,Colcamar,33.96361256,50.677371439999995,42.320492,9.0,633.0,1933.0,931,152,277,40,0.16326530612244897,0.2975295381310419,0.04296455424274973,-0.13426423200859292
010405,010505,Amazonas,Luya,Conila,40.36769312,58.91685087999999,49.64227199999999,7.0,372.0,1923.0,914,370,184,27,0.4048140043763676,0.2013129102844639,0.02954048140043764,0.2035010940919037
010406,010506,Amazonas,Luya,Inguilpata,28.251610120000002,52.14088588,40.196248,9.0,702.0,486.0,308,34,102,22,0.11038961038961038,0.33116883116883117,0.07142857142857142,-0.2207792207792208
010407,010507,Amazonas,Luya,Longuita,46.462122040000004,67.04045996,56.75129100000001,6.0,166.0,883.0,450,78,191,17,0.17333333333333334,0.42444444444444446,0.03777777777777778,-0.2511111111111111
010408,010508,Amazonas,Luya,Lonya Chico,37.49951823999999,55.89953176,46.699524999999994,8.0,470.0,858.0,366,59,105,18,0.16120218579234974,0.28688524590163933,0.04918032786885246,-0.1256830601092896
010409,010509,Amazonas,Luya,Luya,23.083443360000004,37.48555864000001,30.284501000000006,12.0,1079.0,4118.0,1848,416,447,56,0.22510822510822512,0.2418831168831169,0.030303030303030304,-0.016774891774891776
010410,010510,Amazonas,Luya,Luya Viejo,40.85127756000001,68.02545844000001,54.43836800000001,6.0,217.0,405.0,252,62,39,8,0.24603174603174602,0.15476190476190477,0.031746031746031744,0.09126984126984125
010411,010511,Amazonas,Luya,María,42.16390552,61.57648248,51.870194,7.0,302.0,776.0,403,72,71,20,0.17866004962779156,0.1761786600496278,0.04962779156327544,0.0024813895781637674
010412,010512,Amazonas,Luya,Ocalli,36.89509372,53.89806628,45.39658,8.0,518.0,3950.0,1380,570,274,31,0.41304347826086957,0.19855072463768117,0.02246376811594203,0.2144927536231884
010413,010513,Amazonas,Luya,Ocumal,43.05293287999999,61.43262512,52.242779,7.0,287.0,3712.0,1214,199,387,22,0.16392092257001648,0.3187808896210873,0.018121911037891267,-0.15485996705107083
010414,010514,Amazonas,Luya,Pisuquia,49.6160404,67.44110359999999,58.528572,5.0,139.0,5075.0,1052,341,266,37,0.32414448669201523,0.25285171102661597,0.03517110266159696,0.07129277566539927
010415,010516,Amazonas,Luya,San Cristóbal,41.7497948,63.7630252,52.75641,6.0,269.0,550.0,349,68,100,8,0.19484240687679083,0.28653295128939826,0.022922636103151862,-0.09169054441260743
010416,010517,Amazonas,Luya,San Francisco Del Yeso,38.7439486,59.4481734,49.096061000000006,7.0,388.0,732.0,271,56,41,4,0.2066420664206642,0.15129151291512916,0.014760147601476014,0.055350553505535055
010417,010518,Amazonas,Luya,San Jerónimo,37.39622912,56.89892688,47.147577999999996,8.0,450.0,621.0,518,117,157,16,0.22586872586872586,0.3030888030888031,0.03088803088803089,-0.07722007722007723
