nivel,id_ambito_geografico,ubigeo_departamento,nombre_departamento,ubigeo_provincia,nombre_provincia,actasContabilizadas,contabilizadas,totalActas,participacionCiudadana,actasEnviadasJee,enviadasJee,actasPendientesJee,pendientesJee,fechaActualizacion,idUbigeoDepartamento,idUbigeoProvincia,idUbigeoDistrito,idUbigeoDistritoElectoral,totalVotosEmitidos,totalVotosValidos,porcentajeVotosEmitidos,porcentajeVotosValidos,error
total,,,TOTAL (Peru + exterior),,,97.098,90074,92766,71.737,2.9,2690,0.002,2,1777576500606,140000,140100,140101,15,19602538,16308623,100,100,
exterior,2,,TOTAL Exterior (ambito 2),,,92.332,2348,2543,31.002,7.668,195,0.0,0,1777576500606,140000,140100,140101,15,375381,286126,100,100,
departamento,1,020000,Áncash,,,97.523,3386,3472,70.089,2.477,86,0.0,0,1777576500606,140000,140100,140101,15,680830,530388,100,100,
departamento,1,010000,Amazonas,,,98.2,1255,1278,61.079,1.8,23,0.0,0,1777576500606,140000,140100,140101,15,210871,160490,100,100,
nacional,1,,TOTAL Peru (ambito 1),,,97.232,87726,90223,73.626,2.765,2495,0.003,2,1777576500606,140000,140100,140101,15,19227157,16022497,100,100,
departamento,1,030000,Apurímac,,,98.33,1295,1317,69.565,1.67,22,0.0,0,1777576500606,140000,140100,140101,15,251364,197899,100,100,
departamento,1,050000,Ayacucho,,,99.316,1887,1900,67.968,0.684,13,0.0,0,1777576500606,140000,140100,140101,15,353597,282268,100,100,
departamento,1,060000,Cajamarca,,,98.467,4175,4240,67.683,1.533,65,0.0,0,1777576500606,140000,140100,140101,15,811370,635732,100,100,
departamento,1,070000,Cusco,,,97.037,3865,3983,72.105,2.963,118,0.0,0,1777576500606,140000,140100,140101,15,817494,674376,100,100,
departamento,1,040000,Arequipa,,,99.407,4190,4215,80.577,0.593,25,0.0,0,1777576500606,140000,140100,140101,15,988295,875199,100,100,
departamento,1,080000,Huancavelica,,,96.229,1225,1273,61.781,3.771,48,0.0,0,1777576500606,140000,140100,140101,15,209713,166721,100,100,
departamento,1,120000,La Libertad,,,98.604,5228,5302,74.167,1.396,74,0.0,0,1777576500606,140000,140100,140101,15,1151591,921965,100,100,
departamento,1,110000,Junín,,,98.943,3652,3691,73.19,1.057,39,0.0,0,1777576500606,140000,140100,140101,15,777644,630017,100,100,
departamento,1,100000,Ica,,,95.784,2340,2443,78.226,4.216,103,0.0,0,1777576500606,140000,140100,140101,15,558530,462563,100,100,
departamento,1,090000,Huánuco,,,95.429,2234,2341,64.116,4.571,107,0.0,0,1777576500606,140000,140100,140101,15,420933,327591,100,100,
departamento,1,130000,Lambayeque,,,99.22,3562,3590,77.171,0.78,28,0.0,0,1777576500606,140000,140100,140101,15,811342,661964,100,100,
departamento,1,150000,Loreto,,,88.061,2375,2697,51.561,11.865,320,0.074,2,1777576500606,140000,140100,140101,15,400077,301745,100,100,
departamento,1,140000,Lima,,,96.971,28361,29247,77.437,3.029,886,0.0,0,1777576500606,140000,140100,140101,15,6699095,5909445,100,100,
departamento,1,160000,Madre De Dios,,,95.464,484,507,67.469,4.536,23,0.0,0,1777576500606,140000,140100,140101,15,99568,77215,100,100,
departamento,1,170000,Moquegua,,,99.135,573,578,79.111,0.865,5,0.0,0,1777576500606,140000,140100,140101,15,130239,113138,100,100,
departamento,1,180000,Pasco,,,98.878,793,802,64.546,1.122,9,0.0,0,1777576500606,140000,140100,140101,15,144386,114559,100,100,
departamento,1,190000,Piura,,,96.819,5113,5281,72.486,3.181,168,0.0,0,1777576500606,140000,140100,140101,15,1111995,854149,100,100,
departamento,1,210000,San Martín,,,95.028,2408,2534,70.112,4.972,126,0.0,0,1777576500606,140000,140100,140101,15,507337,371201,100,100,
departamento,1,200000,Puno,,,99.235,3371,3397,79.273,0.765,26,0.0,0,1777576500606,140000,140100,140101,15,763786,646137,100,100,
departamento,1,220000,Tacna,,,99.616,1037,1041,81.967,0.384,4,0.0,0,1777576500606,140000,140100,140101,15,248043,220098,100,100,
departamento,1,230000,Tumbes,,,99.842,631,632,78.055,0.158,1,0.0,0,1777576500606,140000,140100,140101,15,141527,110716,100,100,
provincia,1,010000,Amazonas,010100,Chachapoyas,96.471,164,170,68.257,3.529,6,0.0,0,1777576500606,140000,140100,140101,15,31122,24634,100,100,
departamento,1,240000,Callao,,,97.654,2830,2898,76.312,2.346,68,0.0,0,1777576500606,140000,140100,140101,15,655496,565561,100,100,
departamento,1,250000,Ucayali,,,93.095,1456,1564,62.132,6.905,108,0.0,0,1777576500606,140000,140100,140101,15,282034,211360,100,100,
provincia,1,010000,Amazonas,010200,Bagua,99.2,248,250,59.772,0.8,2,0.0,0,1777576500606,140000,140100,140101,15,41751,32274,100,100,
provincia,1,010000,Amazonas,010300,Bongará,100.0,84,84,68.587,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,15214,11441,100,100,
provincia,1,010000,Amazonas,010500,Rodríguez De Mendoza,100.0,102,102,61.437,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,16016,11483,100,100,
provincia,1,010000,Amazonas,010400,Luya,99.371,158,159,63.279,0.629,1,0.0,0,1777576500606,140000,140100,140101,15,25345,18364,100,100,
provincia,1,010000,Amazonas,010600,Condorcanqui,98.276,171,174,41.402,1.724,3,0.0,0,1777576500606,140000,140100,140101,15,19587,14603,100,100,
provincia,1,010000,Amazonas,010700,Utcubamba,96.755,328,339,65.652,3.245,11,0.0,0,1777576500606,140000,140100,140101,15,61836,47691,100,100,
provincia,1,020000,Áncash,020100,Huaraz,99.342,453,456,78.031,0.658,3,0.0,0,1777576500606,140000,140100,140101,15,100778,81832,100,100,
provincia,1,020000,Áncash,020200,Aija,100.0,26,26,67.721,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,4473,3414,100,100,
provincia,1,020000,Áncash,020300,Bolognesi,100.0,85,85,65.559,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,13260,10303,100,100,
provincia,1,020000,Áncash,020400,Carhuaz,99.329,148,149,79.487,0.671,1,0.0,0,1777576500606,140000,140100,140101,15,32596,23333,100,100,
provincia,1,020000,Áncash,020500,Casma,86.713,124,143,69.197,13.287,19,0.0,0,1777576500606,140000,140100,140101,15,28451,21919,100,100,
provincia,1,020000,Áncash,020600,Corongo,100.0,27,27,63.523,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,4021,3009,100,100,
provincia,1,020000,Áncash,020800,Huari,94.545,312,330,47.623,5.455,18,0.0,0,1777576500606,140000,140100,140101,15,43287,34780,100,100,
provincia,1,020000,Áncash,020700,Huaylas,98.817,167,169,72.66,1.183,2,0.0,0,1777576500606,140000,140100,140101,15,34143,23653,100,100,
provincia,1,020000,Áncash,020900,Mariscal Luzuriaga,98.592,70,71,57.649,1.408,1,0.0,0,1777576500606,140000,140100,140101,15,10691,7502,100,100,
provincia,1,020000,Áncash,021000,Pallasca,98.684,75,76,58.789,1.316,1,0.0,0,1777576500606,140000,140100,140101,15,11231,7880,100,100,
provincia,1,020000,Áncash,021100,Pomabamba,98.734,78,79,60.53,1.266,1,0.0,0,1777576500606,140000,140100,140101,15,12448,8413,100,100,
provincia,1,020000,Áncash,021300,Santa,98.6,1268,1286,75.934,1.4,18,0.0,0,1777576500606,140000,140100,140101,15,286545,231813,100,100,
provincia,1,020000,Áncash,021200,Recuay,100.0,67,67,69.999,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,11965,9769,100,100,
provincia,1,020000,Áncash,021400,Sihuas,95.506,85,89,56.863,4.494,4,0.0,0,1777576500606,140000,140100,140101,15,13365,9168,100,100,
provincia,1,020000,Áncash,021500,Yungay,100.0,169,169,72.813,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,34155,23752,100,100,
provincia,1,020000,Áncash,021600,Antonio Raimondi,95.652,44,46,48.212,4.348,2,0.0,0,1777576500606,140000,140100,140101,15,5676,4111,100,100,
provincia,1,020000,Áncash,021700,Carlos Fermín Fitzcarrald,91.228,52,57,55.195,8.772,5,0.0,0,1777576500606,140000,140100,140101,15,8133,5542,100,100,
provincia,1,020000,Áncash,021800,Asunción,82.609,19,23,55.056,17.391,4,0.0,0,1777576500606,140000,140100,140101,15,3354,2372,100,100,
provincia,1,020000,Áncash,022000,Ocros,100.0,30,30,58.246,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,3991,3061,100,100,
provincia,1,020000,Áncash,021900,Huarmey,92.553,87,94,68.857,7.447,7,0.0,0,1777576500606,140000,140100,140101,15,18267,14762,100,100,
provincia,1,030000,Apurímac,030100,Abancay,100.0,313,313,75.042,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,66960,55035,100,100,
provincia,1,030000,Apurímac,030200,Aymaraes,100.0,101,101,67.354,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,17487,13399,100,100,
provincia,1,030000,Apurímac,030300,Andahuaylas,98.238,446,454,72.416,1.762,8,0.0,0,1777576500606,140000,140100,140101,15,91754,73266,100,100,
provincia,1,030000,Apurímac,030400,Antabamba,100.0,43,43,61.037,0.0,0,0.0,0,1777576500606,140000,140100,140101,15,6896,5166,100,100,
provincia,1,030000,Apurímac,030500,Cotabambas,97.024,163,168,62.751,2.976,5,0.0,0,1777576500606,140000,140100,140101,15,28479,20266,100,100,
